"GRAD_DEBT_MDN_SUPP","TUITFTE","CONTROL","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","INEXPFTE","INSTNM","OPEID","CCSIZSET","CCUGPROF","ADM_RATE","RELAFFIL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","PAR_ED_PCT_1STGEN","PAR_ED_PCT_MS","PAR_ED_PCT_HS","PAR_ED_PCT_PS","INC_PCT_LO" 
"24260.5",12858,3,16565,16565,3912,3549,"Bryant & Stratton College-Syracuse",267805,2,3,NA,NA,NA,0.3583,NA,0.2857,NA,14151,NA,NA,NA,NA,NA,NA,NA,14211,13235,13598,18390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14123,NA,NA,NA,13296,NA,18390,NA,NA,NA,NA,"0.539137877","0.049253035","0.489884843","0.460862123","0.798746154"
"24260.5",13874,3,16565,16565,4399,3008,"Bryant & Stratton College-Buffalo",267800,2,3,NA,NA,NA,NA,NA,NA,NA,14866,NA,NA,NA,NA,NA,NA,NA,14727,13514,19433,18598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14667,NA,NA,NA,15205,NA,18598,NA,NA,NA,NA,"0.539137877","0.049253035","0.489884843","0.460862123","0.798746154"
"24260.5",12334,3,16565,16565,3610,3364,"Bryant & Stratton College-Greece",267803,1,3,NA,NA,NA,NA,NA,NA,NA,13675,NA,NA,NA,NA,NA,NA,NA,13689,12906,13400,17180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13613,NA,NA,NA,12988,NA,17180,NA,NA,NA,NA,"0.539137877","0.049253035","0.489884843","0.460862123","0.798746154"
"PrivacySuppressed",8490,3,14120,14120,2100,8481,"Business Informatics Center Inc",2572900,1,2,NA,NA,NA,1,NA,NA,NA,21789,NA,NA,NA,NA,NA,NA,NA,NA,21789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21789,NA,NA,NA,21789,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.482758621"
"25000",15382,2,33332,33332,7530,8788,"Canisius College",268100,13,10,0.7251,30,0.802,NA,0,NA,NA,19289,NA,NA,NA,NA,NA,NA,NA,13130,14392,20321,22169,24650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13596,NA,NA,NA,17448,NA,23512,NA,NA,NA,NA,"0.21474359","0.007211539","0.207532051","0.78525641","PrivacySuppressed"
"6333",11577,3,NA,NA,NA,4321,"Capri School of Hair Design",2056400,NA,NA,NA,NA,NA,0.5,NA,0.6,NA,15913,NA,NA,NA,NA,NA,NA,NA,14620,16946,17429,18229,18229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15070,NA,NA,NA,17165,NA,18229,NA,NA,NA,NA,"0.528813559","0.020338983","0.508474576","0.471186441","0.573232323"
"20000",12077,3,20498,20498,5903,3924,"St Paul's School of Nursing-Queens",1236400,1,2,NA,NA,NA,1,NA,0.3,NA,29587,NA,NA,NA,NA,NA,NA,NA,26187,28337,NA,34237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27262,NA,NA,NA,28337,NA,34237,NA,NA,NA,NA,"0.42","0.055555556","0.364444444","0.58","0.543293718"
"12097",3405,1,4482,8572,7603,5421,"Cayuga County Community College",286100,3,2,NA,NA,NA,0.5561,NA,0.3671,6503,NA,NA,NA,4416,5867,9002,11204,11395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4735,NA,NA,NA,7594,NA,11250,NA,NA,NA,NA,NA,"0.459412023","0.032909171","0.426502852","0.540587977","0.57606264"
"25740",9719,2,29410,29410,6671,8588,"Cazenovia College",268500,11,9,0.7795,NA,0.7201,NA,NA,NA,NA,17655,NA,NA,NA,NA,NA,NA,NA,10289,13774,20887,23042,23453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11348,NA,NA,NA,18023,NA,23213,NA,NA,NA,NA,"0.322580645","0.008064516","0.314516129","0.677419355","0.347445256"
NA,6524,2,6700,6700,2365,1770,"Central Yeshiva Tomchei Tmimim Lubavitz",477600,NA,NA,1,NA,0.6795,NA,NA,NA,NA,16809,NA,NA,NA,NA,NA,NA,NA,16343,16426,17604,18657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16383,NA,NA,NA,16854,NA,18657,NA,NA,NA,NA,"0.536458333","0","0.536458333","0.463541667","0.421465969"
"16500",5751,3,NA,NA,NA,1032,"Cheryl Fells School of Business",2176000,NA,NA,NA,NA,NA,0.6875,NA,NA,NA,12158,NA,NA,NA,NA,NA,NA,NA,12169,11976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12158,NA,NA,NA,11976,NA,NA,NA,NA,NA,NA,"0.590163934","0.032786885","0.557377049","0.409836066","PrivacySuppressed"
NA,17118,2,NA,NA,3583,14171,"Christ the King Seminary",282200,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"PrivacySuppressed",14927,2,14540,14540,NA,20654,"Circle in the Square Theater School",2125500,NA,NA,0.931,NA,NA,0.8462,NA,NA,NA,35087,NA,NA,NA,NA,NA,NA,NA,32350,33425,NA,38575,38575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32995,NA,NA,NA,33425,NA,38575,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.487179487"
"27000",13925,2,40540,40540,10138,13218,"Clarkson University",269900,14,12,0.6403,NA,0.87,NA,NA,NA,NA,25431,NA,NA,NA,NA,NA,NA,NA,15746,19070,23140,26928,31608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17191,NA,NA,NA,21625,NA,29611,NA,NA,NA,NA,"0.168630339","0.009572901","0.159057437","0.831369661","0.189093484"
"12000",2288,1,4566,9406,5645,5788,"Clinton Community College",678700,2,2,NA,NA,NA,0.5308,NA,0.5455,7337,NA,NA,NA,5338,6694,10229,11694,12090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5745,NA,NA,NA,8132,NA,11801,NA,NA,NA,NA,NA,"0.48115942","0.030434783","0.450724638","0.51884058","0.551592357"
"20000",21700,2,NA,NA,7937,33782,"Cochran School of Nursing",644300,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.396551724","0.068965517","0.327586207","0.603448276","0.319444444"
NA,10724,2,NA,NA,5499,23611,"Colgate Rochester Crozer Divinity School",270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15625",29302,2,46380,46380,10985,21634,"Colgate University",270100,11,12,0.2638,NA,0.9312,NA,NA,NA,NA,17711,NA,NA,NA,NA,NA,NA,NA,7134,9867,12384,20466,32798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8911,NA,NA,NA,11141,NA,26860,NA,NA,NA,NA,"0.178733032","0.011312217","0.167420815","0.821266968","0.192307692"
"34375",15586,2,17530,17530,6060,4991,"Metropolitan College of New York",976900,9,10,0.5487,NA,0.5224,NA,0,NA,NA,18604,NA,NA,NA,NA,NA,NA,NA,17498,21140,21198,25431,24391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18131,NA,NA,NA,21151,NA,25223,NA,NA,NA,NA,"0.46975089","0.081850534","0.387900356","0.53024911","0.780542986"
"19435",31924,2,49138,49138,15706,78147,"Columbia University in the City of New York",270700,17,12,0.0742,NA,0.9734,NA,0.9655,NA,NA,22672,NA,NA,NA,NA,NA,NA,NA,8086,3514,7258,16621,37510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5497,NA,NA,NA,5682,NA,32818,NA,NA,NA,NA,"0.221315933","0.030995106","0.190320827","0.778684067","PrivacySuppressed"
"10000",1330,1,4290,8250,5695,6993,"Columbia-Greene Community College",678900,2,2,NA,NA,NA,0.6207,NA,0.3934,5227,NA,NA,NA,3541,4747,7873,9788,9651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3810,NA,NA,NA,6407,NA,9763,NA,NA,NA,NA,NA,"0.451787649","0.021668472","0.430119177","0.548212351","0.59078341"
"8275",10137,3,NA,NA,NA,8483,"Empire Beauty School-Queens",757300,NA,NA,NA,NA,NA,0.6731,NA,0.5833,NA,15027,NA,NA,NA,NA,NA,NA,NA,14436,14726,17705,19105,19105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14468,NA,NA,NA,15810,NA,19105,NA,NA,NA,NA,"0.524656838","0.054905948","0.46975089","0.475343162","0.803982819"
"25000",16503,2,28095,28095,5362,8315,"Concordia College-New York",270900,8,9,0.6701,68,0.6852,NA,NA,NA,NA,16822,NA,NA,NA,NA,NA,NA,NA,12577,15491,19731,22180,24100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13441,NA,NA,NA,17053,NA,23300,NA,NA,NA,NA,"0.418666667","0.050666667","0.368","0.581333333","0.492341357"
"9500",9032,3,NA,NA,NA,1367,"Continental School of Beauty Culture-Buffalo",818903,NA,NA,NA,NA,NA,0.6154,NA,0.5,NA,12102,NA,NA,NA,NA,NA,NA,NA,12062,10724,NA,16049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11979,NA,NA,NA,10724,NA,16049,NA,NA,NA,NA,"0.50174216","0.031358885","0.470383275","0.49825784","0.843537415"
"9500",10249,3,NA,NA,NA,2001,"Continental School of Beauty Culture-Batavia",2617000,NA,NA,NA,NA,NA,0.4,NA,NA,NA,14868,NA,NA,NA,NA,NA,NA,NA,15094,13199,16174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14749,NA,NA,NA,14191,NA,NA,NA,NA,NA,NA,"0.470149254","0.029850746","0.440298508","0.529850746","0.751219512"
"7184",10408,3,NA,NA,NA,1711,"Continental School of Beauty Culture-Rochester",752200,NA,NA,NA,NA,NA,0.8108,NA,0.9,NA,14521,NA,NA,NA,NA,NA,NA,NA,14132,14093,17300,18708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14128,NA,NA,NA,15697,NA,18708,NA,NA,NA,NA,"0.441631505","0.032348805","0.4092827","0.558368495","0.753833049"
"17570",3605,2,41400,41400,11865,24981,"Cooper Union for the Advancement of Science and Art",271000,6,12,0.0774,NA,0.9558,NA,NA,NA,NA,15870,NA,NA,NA,NA,NA,NA,NA,12772,12399,19937,17085,18185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12659,NA,NA,NA,17006,NA,17949,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.442477876"
"12000",24114,2,45358,45358,13820,23140,"Cornell University",271100,17,12,0.1556,NA,0.9677,NA,NA,NA,NA,26484,NA,NA,NA,NA,NA,NA,NA,9149,10539,16830,24153,41691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9826,NA,NA,NA,14129,NA,36379,NA,NA,NA,NA,"0.147617656","0.009646302","0.137971353","0.852382344","PrivacySuppressed"
"12000",20977,2,NA,NA,NA,181655,"Weill Cornell Medical College",271101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.147617656","0.009646302","0.137971353","0.852382344","PrivacySuppressed"
"12500",1153,1,4611,8681,5748,6352,"Corning Community College",286300,3,2,NA,NA,NA,0.5767,NA,0.3095,6713,NA,NA,NA,4717,5967,9585,11033,11557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5029,NA,NA,NA,7827,NA,11185,NA,NA,NA,NA,NA,"0.457382394","0.029809036","0.427573358","0.542617606","0.534398034"
"17500",3428,2,9693,15762,7645,6177,"Crouse Hospital College of Nursing",644500,1,2,0.4795,NA,NA,0.8,NA,1,NA,12223,NA,NA,NA,NA,NA,NA,NA,9250,7439,12730,14205,15493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8733,NA,NA,NA,10966,NA,14463,NA,NA,NA,NA,"0.389705882","0.011029412","0.378676471","0.610294118","0.470989761"
"16000",25756,2,27720,27720,7692,15099,"Culinary Institute of America",730400,NA,NA,0.8967,NA,NA,NA,NA,NA,NA,31870,NA,NA,NA,NA,NA,NA,NA,27253,28983,30972,33981,36159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27945,NA,NA,NA,29925,NA,35470,NA,NA,NA,NA,"0.292438658","0.017526289","0.274912369","0.707561342","PrivacySuppressed"
"11500",6305,1,6210,12720,8651,7969,"CUNY Bernard M Baruch College",727300,15,8,0.2483,NA,0.8762,NA,0.6429,NA,6543,NA,NA,NA,5148,6928,10721,13443,14233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559,NA,NA,NA,8246,NA,13785,NA,NA,NA,NA,NA,"0.492800869","0.10133116","0.391469709","0.507199131","0.720974176"
"8779",1775,1,4518,7038,6376,5847,"CUNY Borough of Manhattan Community College",269100,5,3,NA,NA,NA,0.6406,NA,0.5221,6778,NA,NA,NA,6051,7769,10512,12787,13294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6369,NA,NA,NA,8556,NA,12891,NA,NA,NA,NA,NA,"0.513152805","0.098646035","0.41450677","0.486847195","PrivacySuppressed"
"8547.5",970,1,4554,7074,6351,7517,"CUNY Bronx Community College",269200,4,2,NA,NA,NA,0.5807,NA,0.4929,7812,NA,NA,NA,7369,8721,11246,13938,14170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7565,NA,NA,NA,9432,NA,14002,NA,NA,NA,NA,NA,"0.504661017","0.094279661","0.410381356","0.495338983","PrivacySuppressed"
"11000",4480,1,6184,12694,7529,8845,"CUNY Brooklyn College",268700,15,8,0.3198,NA,0.864,NA,0.5,NA,5775,NA,NA,NA,3923,6381,10032,12872,13281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4538,NA,NA,NA,7579,NA,13000,NA,NA,NA,NA,NA,"0.433371958","0.073928158","0.359443801","0.566628042","PrivacySuppressed"
"16872",3881,1,6158,12668,7198,7802,"College of Staten Island CUNY",269800,15,7,0.9975,NA,0.8286,NA,0.65,NA,7364,NA,NA,NA,5274,7271,11135,13809,14274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5744,NA,NA,NA,8631,NA,14026,NA,NA,NA,NA,NA,"0.506007394","0.068853974","0.43715342","0.493992606","PrivacySuppressed"
"12500",4376,1,6089,12599,8257,13009,"CUNY City College",268800,15,8,0.341,NA,0.8747,NA,0.5625,NA,5150,NA,NA,NA,3537,6028,10035,13429,13964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4011,NA,NA,NA,7461,NA,13673,NA,NA,NA,NA,NA,"0.446333688","0.086875664","0.359458023","0.553666312","0.716958599"
"12500",7574,1,NA,NA,10041,38022,"CUNY Graduate School and University Center",476500,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.404878049","0.068292683","0.336585366","0.595121951","PrivacySuppressed"
"9000",1484,1,4555,7075,6437,8831,"CUNY Hostos Community College",861100,3,2,NA,NA,NA,0.672,NA,0.449,7054,NA,NA,NA,6675,7868,11308,13549,13674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6842,NA,NA,NA,8545,NA,13603,NA,NA,NA,NA,NA,"0.519920319","0.113545817","0.406374502","0.480079681","PrivacySuppressed"
"10500",5913,1,6129,12639,7895,8762,"CUNY Hunter College",268900,15,8,0.2972,NA,0.8669,NA,0.6383,NA,6688,NA,NA,NA,4698,6957,10893,14004,14468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5258,NA,NA,NA,8350,NA,14248,NA,NA,NA,NA,NA,"0.429152267","0.0703395","0.358812767","0.570847733","PrivacySuppressed"
"11500",3994,1,6059,12569,7339,8585,"CUNY John Jay College of Criminal Justice",269300,15,6,0.3405,NA,0.7795,NA,0.3529,NA,5141,NA,NA,NA,3470,5818,9770,12764,13275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3993,NA,NA,NA,7063,NA,13039,NA,NA,NA,NA,NA,"0.482564436","0.082304527","0.400259909","0.517435564","PrivacySuppressed"
"6531",1582,1,4550,7070,6216,6189,"CUNY Kingsborough Community College",269400,5,2,NA,NA,NA,0.6675,NA,0.4581,6060,NA,NA,NA,5206,6853,9918,11926,12563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5517,NA,NA,NA,7862,NA,12142,NA,NA,NA,NA,NA,"0.467308521","0.076447766","0.390860756","0.532691479","PrivacySuppressed"
"6000",2486,1,4566,7086,6670,6535,"CUNY LaGuardia Community College",1005100,5,2,NA,NA,NA,0.638,NA,0.4169,7915,NA,NA,NA,7314,8808,11208,13071,13527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7573,NA,NA,NA,9486,NA,13227,NA,NA,NA,NA,NA,"0.514006165","0.098512264","0.415493902","0.485993835","PrivacySuppressed"
"9500",4011,1,6108,12618,7271,10149,"CUNY Lehman College",702200,12,6,0.2328,NA,0.815,NA,0.625,NA,4299,NA,NA,NA,2668,5472,9864,12074,12957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3297,NA,NA,NA,7020,NA,12389,NA,NA,NA,NA,NA,"0.497986993","0.105605451","0.392381542","0.502013007","0.738670695"
"7500",2396,1,6032,12542,7215,9837,"CUNY Medgar Evers College",1009700,12,6,0.9141,NA,0.6471,NA,0.6,NA,8081,NA,NA,NA,7186,8907,12566,14609,15240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7556,NA,NA,NA,9886,NA,14735,NA,NA,NA,NA,NA,"0.471634208","0.062235394","0.409398815","0.528365792","PrivacySuppressed"
"10000",3180,1,6069,12579,6700,8492,"CUNY New York City College of Technology",269600,15,6,0.768,NA,0.766,NA,0.875,NA,5896,NA,NA,NA,4716,6823,10158,12908,13215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5220,NA,NA,NA,7809,NA,13027,NA,NA,NA,NA,NA,"0.48476908","0.094005896","0.390763184","0.51523092","PrivacySuppressed"
"11200",4899,1,6207,12717,7624,8204,"CUNY Queens College",269000,15,8,0.3702,NA,0.8444,NA,0.6818,NA,5527,NA,NA,NA,3538,5673,10421,12382,13622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4044,NA,NA,NA,7494,NA,12981,NA,NA,NA,NA,NA,"0.452426261","0.079923882","0.372502379","0.547573739","PrivacySuppressed"
"7978.5",3014,1,4540,7060,6511,6942,"CUNY Queensborough Community College",269700,5,2,NA,NA,NA,0.7088,NA,0.5018,4563,NA,NA,NA,3626,5350,7714,9658,9953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4042,NA,NA,NA,6034,NA,9775,NA,NA,NA,NA,NA,"0.504124978","0.083728278","0.4203967","0.495875022","PrivacySuppressed"
"PrivacySuppressed",13163,1,NA,NA,10284,27672,"CUNY School of Law at Queens College",3191300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"10000",3308,1,6096,12606,7001,8154,"CUNY York College",475900,12,6,0.351,NA,0.7415,NA,0.6364,NA,5380,NA,NA,NA,4087,6260,9959,12944,13896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4590,NA,NA,NA,7508,NA,13247,NA,NA,NA,NA,NA,"0.483590352","0.096085409","0.387504943","0.516409648","PrivacySuppressed"
"PrivacySuppressed",730,2,NA,NA,NA,5806,"CVPH Medical Center School of Radiologic Technology",1161400,NA,NA,NA,NA,NA,0.25,NA,NA,NA,6112,NA,NA,NA,NA,NA,NA,NA,2049,NA,10176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2049,NA,NA,NA,10176,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","0","0.307692308","0.692307692","PrivacySuppressed"
"26000",16950,2,22850,22850,6071,8975,"D'Youville College",271200,9,11,0.7908,NA,0.7875,NA,0,NA,NA,18288,NA,NA,NA,NA,NA,NA,NA,11575,14024,18724,20468,22801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12541,NA,NA,NA,16921,NA,21665,NA,NA,NA,NA,"0.293736501","0.016198704","0.277537797","0.706263499","0.405163853"
"23250",12522,2,24090,24090,5947,7624,"Daemen College",280800,10,11,0.4864,NA,0.7352,NA,0,NA,NA,15944,NA,NA,NA,NA,NA,NA,NA,10515,11331,15040,19898,23163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10776,NA,NA,NA,13616,NA,21224,NA,NA,NA,NA,"0.31299041","0.011333915","0.301656495","0.68700959","0.335913313"
NA,30525,2,10000,10000,5345,38627,"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",4119600,NA,NA,1,NA,0.8636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"29250",17452,2,24790,24790,7601,7242,"Dominican College of Blauvelt",271300,10,9,0.7189,NA,0.6689,NA,NA,NA,NA,21453,NA,NA,NA,NA,NA,NA,NA,18185,19519,21738,23340,26093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18585,NA,NA,NA,20701,NA,24917,NA,NA,NA,NA,"0.36351166","0.0260631","0.33744856","0.63648834","PrivacySuppressed"
"25000",19060,2,28390,28390,8003,9924,"Dowling College",266700,12,6,0.7828,NA,0.6203,NA,0.0714,NA,NA,23713,NA,NA,NA,NA,NA,NA,NA,20762,23778,21169,25044,29958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21490,NA,NA,NA,22355,NA,27963,NA,NA,NA,NA,"0.433962264","0.023222061","0.410740203","0.566037736","PrivacySuppressed"
"11000",3428,1,3635,6835,7362,5705,"Dutchess Community College",286400,4,2,NA,NA,NA,0.595,NA,0.4971,6377,NA,NA,NA,3819,5558,8666,10321,10535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4335,NA,NA,NA,6976,NA,10420,NA,NA,NA,NA,NA,"0.442289935","0.03293321","0.409356725","0.557710065","PrivacySuppressed"
"14649.5",3774,2,8832,8832,7009,13428,"Belanger School of Nursing",644800,1,1,0.2857,NA,NA,1,NA,1,NA,8145,NA,NA,NA,NA,NA,NA,NA,NA,4216,12075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4216,NA,NA,NA,8145,NA,NA,NA,NA,NA,NA,"0.375","0.022727273","0.352272727","0.625","0.48"
"20000",18631,3,15100,15100,2467,3183,"Elmira Business Institute",904300,1,3,NA,NA,NA,0.381,NA,0,NA,24053,NA,NA,NA,NA,NA,NA,NA,23902,NA,26117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23902,NA,NA,NA,26117,NA,NA,NA,NA,NA,NA,"0.604210526","0.071578947","0.532631579","0.395789474","0.871428571"
"27000",15061,2,38150,38150,4676,8417,"Elmira College",271800,11,10,0.7978,NA,0.736,NA,NA,NA,NA,22787,NA,NA,NA,NA,NA,NA,NA,19845,23060,20413,23625,25350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21354,NA,NA,NA,21450,NA,24578,NA,NA,NA,NA,"0.269399707","PrivacySuppressed","0.267935578","0.730600293","PrivacySuppressed"
"8600",3268,1,4559,8554,6348,5445,"Erie Community College",1068400,5,3,NA,NA,NA,0.5308,NA,0.3574,5218,NA,NA,NA,3111,5012,7882,9593,10041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3516,NA,NA,NA,6460,NA,9723,NA,NA,NA,NA,NA,"0.402145474","0.028257457","0.373888017","0.597854526","PrivacySuppressed"
"21009",7681,1,5105,13955,10019,10201,"Fashion Institute of Technology",286600,12,13,0.4484,NA,0.8843,NA,0.6957,NA,11466,NA,NA,NA,7597,9730,14297,16023,16392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8216,NA,NA,NA,11800,NA,16240,NA,NA,NA,NA,NA,"0.288922726","0.018652455","0.27027027","0.711077275","0.392905866"
"12000",1622,1,4256,8090,5806,5064,"Finger Lakes Community College",753200,3,2,NA,NA,NA,0.4894,NA,0.3772,10240,NA,NA,NA,7933,9250,12808,14073,14477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8312,NA,NA,NA,10821,NA,14214,NA,NA,NA,NA,NA,"0.410990938","0.027477346","0.383513593","0.589009062","PrivacySuppressed"
