"GRAD_DEBT_MDN_SUPP","TUITFTE","CONTROL","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","INEXPFTE","INSTNM","OPEID","CCSIZSET","CCUGPROF","ADM_RATE","RELAFFIL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","PAR_ED_PCT_1STGEN","PAR_ED_PCT_MS","PAR_ED_PCT_HS","PAR_ED_PCT_PS","INC_PCT_LO"
"26500",6023,2,8090,8090,5720,6652,"Concordia College Alabama",1055400,8,9,NA,68,0.4103,NA,0,NA,NA,12686,NA,NA,NA,NA,NA,NA,NA,11727,12333,15293,17505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11822,NA,NA,NA,14121,NA,17505,NA,NA,NA,NA,"0.514957265","0.02991453","0.485042735","0.485042735","PrivacySuppressed"
"27167",14726,3,16360,16360,4566,4728,"South University-Montgomery",1303906,6,5,0.4366,NA,0.1935,NA,0.1429,NA,NA,23152,NA,NA,NA,NA,NA,NA,NA,22286,24475,28525,28525,26300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22773,NA,NA,NA,24843,NA,27042,NA,NA,NA,NA,"0.488117088","0.049225846","0.438891242","0.511882912","PrivacySuppressed"
"11073",2129,1,3780,6888,6257,5930,"Enterprise State Community College",101500,3,3,NA,NA,NA,0.5411,NA,0.45,5048,NA,NA,NA,4486,4699,7476,9713,10060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4536,NA,NA,NA,5625,NA,9843,NA,NA,NA,NA,NA,"0.46702454","0.053680982","0.413343558","0.53297546","0.685510072"
"9153",2187,1,4200,7530,6116,4101,"James H Faulkner State Community College",106000,3,3,NA,NA,NA,0.5211,NA,0.3981,7404,NA,NA,NA,6474,6901,9452,10286,10846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6574,NA,NA,NA,8021,NA,10470,NA,NA,NA,NA,NA,"0.461089494","0.035019455","0.426070039","0.538910506","0.64768174"
"23750",10997,2,18230,18230,6657,5382,"Faulkner University",100300,9,7,NA,74,0.5,NA,0.4348,NA,NA,17660,NA,NA,NA,NA,NA,NA,NA,18130,17752,19262,15704,15544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18018,NA,NA,NA,18567,NA,15626,NA,NA,NA,NA,"0.434278351","0.037371134","0.396907217","0.56572165","PrivacySuppressed"
"PrivacySuppressed",1643,1,3900,7230,5950,5876,"Gadsden State Community College",101700,4,3,NA,NA,NA,0.5589,NA,0.3865,4565,NA,NA,NA,4516,4872,6147,5143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4534,NA,NA,NA,5225,NA,5143,NA,NA,NA,NA,NA,"0.545367412","0.07827476","0.467092652","0.454632588","PrivacySuppressed"
"9490",1624,3,NA,NA,NA,1764,"New Beginning College of Cosmetology",4187200,NA,NA,NA,NA,NA,0.8636,NA,NA,NA,9476,NA,NA,NA,NA,NA,NA,NA,8651,11294,11443,13482,13482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8954,NA,NA,NA,11363,NA,13482,NA,NA,NA,NA,"0.6015625","0.0625","0.5390625","0.3984375","0.75"
"PrivacySuppressed",1927,1,3900,7230,5544,5296,"George C Wallace State Community College-Dothan",101800,3,2,NA,NA,NA,0.5597,NA,0.4627,2681,NA,NA,NA,2386,3243,5046,NA,2590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2551,NA,NA,NA,3647,NA,2590,NA,NA,NA,NA,NA,"0.522697795","0.05793342","0.464764375","0.477302205","0.801670905"
"11330",2707,1,4200,7530,5843,5289,"George C Wallace State Community College-Hanceville",787100,3,2,NA,NA,NA,0.6368,NA,0.5414,6628,NA,NA,NA,6299,6229,8750,9756,8657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6295,NA,NA,NA,7489,NA,9509,NA,NA,NA,NA,NA,"0.540575493","0.080181054","0.460394439","0.459424507","PrivacySuppressed"
"PrivacySuppressed",1312,1,3900,7230,5809,5581,"George C Wallace State Community College-Selma",569900,2,3,NA,NA,NA,0.5312,NA,0.2727,8712,NA,NA,NA,8692,8220,11810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8648,NA,NA,NA,8873,NA,NA,NA,NA,NA,NA,NA,"0.507172996","0.035443038","0.471729958","0.492827004","0.868108863"
"22822",8048,3,11150,11150,5645,6942,"Herzing University-Birmingham",962107,6,5,0.7234,NA,0.5,NA,NA,NA,NA,22518,NA,NA,NA,NA,NA,NA,NA,22202,22985,21989,25064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22351,NA,NA,NA,22559,NA,25064,NA,NA,NA,NA,"0.517776439","0.045344983","0.472431455","0.482223561","0.744008715"
"27000",9074,2,23500,23500,6027,6571,"Huntingdon College",101900,7,11,0.6279,71,0.6196,NA,NA,NA,NA,17864,NA,NA,NA,NA,NA,NA,NA,16288,16917,17974,18342,20736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16518,NA,NA,NA,17438,NA,19240,NA,NA,NA,NA,"0.337797619","0.008928571","0.328869048","0.662202381","0.401098901"
"PrivacySuppressed",10138,2,9792,9792,5512,9356,"Heritage Christian University",2199700,NA,NA,NA,74,1,NA,0,NA,NA,9346,NA,NA,NA,NA,NA,NA,NA,9346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.605263158"
"PrivacySuppressed",1348,1,3336,6000,6947,5498,"J F Drake State Community and Technical College",526000,2,2,NA,NA,NA,0.4228,NA,0.2059,7163,NA,NA,NA,7136,7524,6905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7173,NA,NA,NA,7347,NA,NA,NA,NA,NA,NA,NA,"0.600656455","0.088621444","0.512035011","0.399343545","PrivacySuppressed"
"23500",6192,1,7092,13884,6857,6949,"Jacksonville State University",102000,12,6,0.8326,NA,0.7112,NA,0.3,NA,16078,NA,NA,NA,14021,15774,18261,19180,19202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14523,NA,NA,NA,16858,NA,19189,NA,NA,NA,NA,NA,"0.413394919","0.031672715","0.381722204","0.586605081","0.470516717"
"PrivacySuppressed",1084,1,3908,7238,5636,5655,"Jefferson Davis Community College",102100,2,2,NA,NA,NA,0.5182,NA,0.4565,3796,NA,NA,NA,3648,4129,4473,3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3736,NA,NA,NA,4244,NA,3599,NA,NA,NA,NA,NA,"0.555555556","0.061191626","0.494363929","0.444444444","0.790140845"
"10000",2670,1,4260,7590,6079,4576,"Jefferson State Community College",102200,4,1,NA,NA,NA,0.5235,NA,0.4415,8799,NA,NA,NA,7793,8912,11006,12606,12835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8030,NA,NA,NA,9690,NA,12676,NA,NA,NA,NA,NA,"0.49080206","0.046602894","0.444199166","0.50919794","PrivacySuppressed"
"9940",2985,1,4140,7410,6083,3720,"John C Calhoun State Community College",101300,4,2,NA,NA,NA,0.5749,NA,0.468,5278,NA,NA,NA,3925,5268,7865,9495,9550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4235,NA,NA,NA,6413,NA,9517,NA,NA,NA,NA,NA,"0.493103448","0.063409962","0.429693487","0.506896552","0.644278184"
